text,toxic
"Template:Infobox road//shield US-Alt – Template:Infobox road//shield US Alt –
Template:Infobox road//abbrev US-Alt – Template:Infobox road//abbrev US Alt –
Template:Infobox road//link US-Alt – Template:Infobox road//link US Alt –
Template:Infobox road//shield US-Bus – Template:Infobox road//shield US Bus –
Template:Infobox road//abbrev US-Bus – Template:Infobox road//abbrev US Bus –
Template:Infobox road//link US-Bus – Template:Infobox road//link US Bus –
Template:Infobox road//shield US-Byp – Template:Infobox road//shield US Byp –
Template:Infobox road//abbrev US-Byp – Template:Infobox road//abbrev US Byp –
Template:Infobox road//link US-Byp – Template:Infobox road//link US Byp –
Template:Infobox road//shield US-Truck – Template:Infobox road//shield US Truck –
Template:Infobox road//abbrev US-Truck – Template:Infobox road//abbrev US Truck –
Template:Infobox road//link US-Truck – Template:Infobox road//link US Truck –
Template:Infobox road//shield US-Spur – Template:Infobox road//shield US Spur –
Template:Infobox road//abbrev US-Spur – Template:Infobox road//abbrev US Spur –
Template:Infobox road//link US-Spur – Template:Infobox road//link US Spur –",0
your invoking your peronal opinions when you say no snitching nonsense. thats how you feel about it and thats ok. many others disagree,0
"Absolutely concur on both points. Trim overview of movement drastically, as there is seperate article, and make fiction elsewhere. (I've mentioned the fiction bit before, so you know I agree on that.) Does anyone have any (more specific) ideas? Little redundancies that could be trimmed?",0
That is just the way Psychonaut is. He stalks and harrasses people and then makes up lies about them. But you can't do anything about it because the admins are on his side.,0
Sorry but promotional pics released by the artist and hisgh school yearbook photos are not in violation of copyright laws.,0
"Wikipedia Abuse on  

Consider the following:

1. http://en.wikipedia.org/w/index.php?title=User%3AEth01&diff;=185942737&oldid;=185043611
2. http://en.wikipedia.org/w/index.php?title=User%3AEth01&diff;=185942737&oldid;=185043924
3. http://en.wikipedia.org/w/index.php?title=User%3AEth01&diff;=185942737&oldid;=185677629

Those are just some... More available here, http://en.wikipedia.org/w/index.php?title=User:Eth01&action;=history ...

I have reason to believe that you are the instigator for the above, and created the such. There are however, two sides to every story, consider citing Sadie from freenode...",0
Please stop raping little boys in the anus. Don't you know that's illegal?,1
"""

I've never heard about the """"Yugoslav Serbo-Macedonian Alliance..."""". Also, there weren't any such attempts of """"removing"""" Albanians through the Constitution. 

You made me curious about this. Do you have any links? Thanks in advance,  """,0
"Minefield Image 

The image contains aspects of the Microsoft Windows Vista operating system and as such is not a free screenshot. It is incorrectly on commons and should be removed. Using a screenshot of any aspect of Windows is inherently fair use.-(talk)",0
"User:Materialscientists 

It appears you have a... I don't know how to classify this one. Thought you should know. 69.181.249.92",0
"Evil sleazy people generally don't become so overnight, that's a great thing to look up. Martin",0
"Portal message 

Do our external sites pull through our Portal: namespace? Should this actually be on the main article? -",0
"You're one of those corrupt administrators, aren't you? Well, you can jolly well get off my talk page. Deleting anything that doesn't please you or meet some guideline made 10 years ago.",1
"""

 """"Was"""", not """"is"""" 

Since there hasn't been a new Al-TV in several years, it's safe to say the show is in the past tense.   """,0
"So.... is this a joke article? 

This looks like it was re-posted directly from a magazine, or written directly by Mercedes themselves. Why are there statements ending as if questions? Why does this seem entirely POV?",0
"I believe I created a valid disambiguation page. Please restore it in place or in my user space, so that I can contest the deletion according to wikipedia policies.",0
"You're an ass. That was not a clip of the real game.
-Jutras",1
"""
 Copyright problem removed 

Prior content in this article duplicated one or more previously published sources. The material was copied from: http://www.eskside.co.uk/ss_rohilla/rohilla_tragedy.htm. Infringing material has been rewritten or removed and must not be restored, unless it is duly released under a compatible license. (For more information, please see """"using copyrighted works from others"""" if you are not the copyright holder of this material, or """"donating copyrighted materials"""" if you are.) For legal reasons, we cannot accept copyrighted text or images borrowed from other web sites or published material; such additions will be deleted. Contributors may use copyrighted publications as a source of information, but not as a source of sentences or phrases. Accordingly, the material may be rewritten, but only if it does not infringe on the copyright of the original or plagiarize from that source. Please see our guideline on non-free text for how to properly implement limited quotations of copyrighted text. Wikipedia takes copyright violations very seriously, and persistent violators will be blocked from editing. While we appreciate contributions, we must require all contributors to understand and comply with these policies. Thank you.   (talk) """,0
"""
PeeJay is correct, also the article mentions this twice in the abstract, which is redundant. Request that someone removes on. First paragraph: """"...becoming the first player to win four Ballons d'Or, all of which he won consecutively."""" Second paragraph: """"Messi is the first football player in history to win four FIFA/Ballons d'Or, all of which he won consecutively""""   darksaber14""",0
"""

Agree with Shahid, you do not need to document every single minor mishap or incident that occurred in her life. It is supposed to be a summary of major events or moments that affected her life/career etc. White cat  """,0
"Thanks. One likes to allow a certain amount of latitude for user talk pages, but not as forums for personal insults...even if the persons are politicians.",0
"Classical Variations and Themes
I noticed you reverted an edit on Timo Tolkki's Classical Variations and Themes album page, which originally removed a zero-rated allmusic link. It is now back, but still with zero stars. I've been under the impression that any non-rated links should not be present at all, and thus the Reviews field left blank. Has the rule been changed recently, or might I be missing something here?",0
"Copyright problems with diagnostic criteria
The American Psychiatric Association has not released its Diagnostic and Statistical Manual of Mental Disorders into public domain, but claims copyright. The Wikimedia Foundation has received a letter of complaint (Ticket:2010030910040817, for those with access) about the use of their diagnostic criteria in this and a number of other articles. Currently, this content is blanked pending investigation, which will last approximately one week. Please feel free to provide input at the copyright problems board listing during that time. Individuals with access to the books would be particularly welcome in helping to conduct the investigation. Assistance developing a plan to prevent misuse of the APA's material on Wikipedia projects would also be welcome. Thank you.   (talk)",0
"Niggerpuppets 

Please don't trivialise meatism, specism or make presumptions of others ethinicity and please don't make personal attacks. 

Thank you. 

How silly do you want this thing to become? 

We are certainly into Panto season here [ ... oh,  yes we are ... oh, no we are not! ]

Actually, the analogy is a very good one as the user Vigger pointed out. 

Do you think some troll calling vegans Mr Meatpuppet is not a personal attack?",1
"RFA statement 

Do you think you could flesh out your reasons for needing the admin tools? The uninitiated likely have no clue what you guys do exactly, over at CCI. Just a thought. Good luck!",0
"fail warning? 

Okay, the warning u gave me said im not to attack you. but that doesn't say I cant state my opinion - and my opinion is that YOU are one big suckup and one big wannabe to get admin lmfao and atm you cant do a damn thing as im stating my opinion here HUMAN RIGHTS!! so if u ban me ill get u removed, your a wetty that just sits in a cupboard downstairs of ur house so u can go on Wikipedia and have fun editing posts as u have no social life lmfao",1
my respect whatsoever.,0
"Dont really like the liberals either, Too much lefty rubbish leaves us all poor.",1
"did you read ANYTHING I wrote above? never mind steven king or being famous (I'm not, he is, and yes, I knew about the Steven King thing already that is irrelevant here though). never mind all that, Ellin Beltz, as far as I can tell, you assisted in a misguided witchhunt against me after I clearly politely asked for your *Assistance*. how is that anything but wrong. you should be nice to me and read my reply to your erroneous vote and reconsider your hasty opinion that carries much oo much weight for something you were just dropped in on two minutes ago and you decided to come across like the expert (who apparently d9sclaimers their expertise saying 'now I'm no expert' then proceeding to act like one. So, tell me, I BEG, Where am I wrong or mischaracterizing your behavior with regard to the DD AFD? Nowhere. You were wrong on each and every count (though some good points inevitably slip thru any time someone opens their mouth)",0
"""

Please stop. If you continue to vandalize pages, as you did to Saint-Victor, you will be blocked from editing Wikipedia.   A link to the edit I have reverted can be found here: link. If you believe this edit should not have been reverted, please contact me.  (| '''UlTiMuS''' (  • T • C |  • E )  """,0
"""
I'm a childish comment? Wow, that's pure genius, I must congratulate you on your ability to perpetuate a well known American stereotype. Can I also be so bold as to recommend that when you go to school tomorrow you ask your English teacher to teach you the difference between Your and You're Talk """,0
"""

 Coding 

Hey, Kungming2; I fixed the coding on your page; since mine and your are similar, I had the same problem (the wikitable). So, I deleted the wikitable and now your userpage is back to normal ^_^   (Talk)  """,0
"""==Passion Killing in Namibia==
Introduction

In the Cambridge Advance Learner’s Dictionary, passion is defined as a very powerful feeling, for example of sexual attraction, love, hate, anger or other emotions and killing is defined as the act of murder. In this context Passion Killing is combined.Passion Killing can be defined as the act of killing someone out of the feeling of extreme anger, love, hate or other emotions.

In the past passion killing in Namibia was very minimal but now the number has gone up and it has become a trend. Recently, a large number of continuous Passion killing cases have been reported. So far it is only men that have been reported to have murdered women, breakups and infidelities being 2 of the main reasons amongst many.In this article I’m going to contemplate and discuss the causes of this aggravated passion killing in our society, who is at fault and recommendations as to what can be done to stop this type of violence.

The causes
The question on everyone’s lips is, “why are men killing women?”

 Amongst many causes, the most popular causes of passion killing reported have usually followed from women who depend on men for financial support, for things such as accommodation, tuition fees in a case of a student, food, clothes and other essential basic needs and in this case, men tend to become possessive and feel they own the women and when women call it quits, the men usually feels betrayed and sour and end up killing the women.The Namibian, 2012Namibian

 Another major cause that leads to Passion killing in our society is infidelity from women. When a woman cheats and the men finds out, the feeling of betrayal usually overpowers the man and they end up killing.

 A possible cause could be the lack of self control and lack of respect towards women.Causes

Who is at fault?
As I have observed, both men and women are to be blamed in different cases.

Firstly, certain men are at fault are because they don’t seem to understand the real meaning of love. """"The country should cry out for help. True love is patient, love is kind - it does not envy, it does not boast, it is not proud. It is not rude, it is not self-seeking, it is not easily angered, it keeps no record of wrongs. Love does not delight in evil but rejoices with the truth. Love always protects, always trusts, always hopes, always perseveres.. Bishop Kleopas Dumeni, 2012 

Even if love is not involved, as it is in some cases, one would often feel that their ego is bruised or that their money has gone down the drain because they felt they had invested in something that they can own as property.In other cases men tend to become desperate for love and affection and end up offering material things and money to women to get some sort of affection even though the women have not demanded for it, In the end they feel they own the women and when they cheat or end the relationship they result to killing. 

Women are at fault in cases such as when they do not work hard to be independent and they accept all this material things because they want a chance at a luxurious and easy life at little to no cost. But little do they know that they might up paying with their lives when they do not stick to the person who is supplying with them with this sort of life. 

Women or both men and women are also at fault because they enter or initiate relationships for the wrong reasons, be it for money or sex and soon and in the end the differences start to surface, then there are misunderstandings and pain to one or both parties. 
Either way there are many different cases regarding passion killing and in  different cases either sexes are at fault but this still does not justify passion killing.

Recommendations
Recommendations 
The solution to this problem is a hard one to solve because it would require some sort of reaching out to the people of this Nation. Knowing the diversity of people, it’s hard to figure out what would impact certain people.  Never –the –less, the nation cannot sit back and watch this type of evil carry on. Informante
A number of people have come up with reinforcing the death penalty. But I believe one cannot fix another evil with evil.""""So what is the exact answer to the problem, should we bring back the death penalty? Will it stop the passion killings?",0
Well then thank you. You can disregard my previous statement and do whatever you want. If you think you will change the world by trying to delete true matters then WE all lose in the long term. Thanks for your time. Best of luck. Cabbynet.,0
"I picked up on the questionable additions while doing WP:RCP with Huggle, and didn't check the talk page before went at 'em, but neither of them seemed appropriate here so I reverted them.",0
"Standings after the race
Ref #24 (also used for drivers' champ. table) does not list manuafacturers' champ. points. Please fix.",0
Every documentary is without error? Interesting. ~,0
"I see you have tagged everything I did as vandalism, maybe you should try doing some actual reading instead of reverting without reading",0
"Double Standards & Issues -  

 

Dear “Lessheard vanU” and to Wikipedia including all editors and administrators & Mr. Wales:   This is a very serious issue.  We contributing writers have attempted to follow wikipedia written polices in contributing and adding to an existing article or creating one.  Yet there are double standards beings upheld by wikipedia’s own editors and administrators.  As with Blackpearl14, who clearly believes that wikipedias polices don’t apply to her, and with other editors who uphold double standards.   Then when challenged to the double standards, including Blackpearl14's violation of wikipedia’s own written polices and reckless authoritarian rule and control, other wikipedia editors and administrators then support each other when one of them continues to violate wikipedia’s own written polices.    “Lessheard vanU” had then wrongly and deliberately calls the contributing people who writes back and flags the issue at hand a “harassing the editor”, outright agreeing with Blackpearl14.  Then in addition to IP address being blocked, all “talk & discussion” are deleted  leaving only one sided bias and reckless claims against the contributing writers.  Even though wrongly deleted by wikipedia editors & administrators, all of this has been recorded, including that Blackpearl14 having repeatedly writing in both correspondence and her bio page (copies have been secure)  that the articles belong to her and they will continue to be own and controlled by her.  These statements alone proves that she is in violation of wikipedia’s own written polices and purpose.  Yet you have ignored that.

As previously written in discussion, per wikipedia’s own written polices, but immediately deleted by Blackpearl14 and then sanctioned by  “Lessheard vanU”, Blackpearll4 - calls herself evidently Mrs. Johnny Depp and Pirate lord-ess and such.  She celebrates on her official wikipedia bio pages that she did many pages and articles on the Walt Disney Company and Pirates of the Caribbean for wikipedia.   Why would someone devote so much time to 24/7 check the site and on these pages, and then recklessly calls anyone who doesn’t follow her bias views vandals, attackers and such.   Has her judgement become impaired?   Her goal to fuse her love and fantasies with the Walt Disney Company and Pirates of the Caribbean is very clear.  That is a conflict of interest and that is not being neutral and is against wikipedia’s own written polices.  Sorry, but if one purchases products, such as Pirates of the Caribbean posters, toys and Walt Disney merchandise and also using emotional love and fantasies for wikipedia / wikinews articles, doesn’t make the articles neutral and it causes a conflict of interest.   As recorded, Blackpearl14's pages regarding this issue are one sided, not neutral, are bias, in conflict of interest and are all promotional tools promoting the causes and products of the Walt Disney Company and Pirates of the Caribbean.   Yes, Pirates of the Caribbean and similar wikipedia articles are not neutral, they are a series of one sided promotional pages including links to products and causes of the Walt Disney Company.   Following wikipedia’s own written “neutral” policy, entire articles would have to be deleted.    Yet Blackpearl14 continues to violate Wikipedia polices and purpose.  

Then with IP’s being deliberately blocked and contributing writers having been wrongly accused and falsely called various things, if anyone then attempts to generate a new article related to Pirates of the Caribbean following wikipedia’s own written polices, editors and administrators gang up and generate false reason upon reason, to delete those articles and ban the IP user.   They use a countless list of double standards and twisted logic to justify their reckless acts.   It’s a total lock out by the editors and administrators, abusing their trust tools, acting like a private monarchy.   To date, Blackpearl14's has proven she has ultimate control, has repeatedly stated that is her purpose, and had even sought to have the articles locked.    Then you “Lessheard vanU” wrote that you don’t want to lock these articles, stating it goes against company policy, but yet you added that you are preparing to possibly lock the articles in some capacity and do other acts against those who have been falsely branded and wrongly labeled as “vandals” and “harassing the editors” etc...

Other editors and administrators who have proven their practice of bias and manipulative and outright double standards practices include “SVTCobra” and “Whoville” and “Chris Mann”.   We have documented that they say one thing, yet practice another.   We have documented that they enforce one set of wikipedia polices yet discard and ignore those same policies when it applies to themselves or their selective circle of peers.   We contributing writers also wonder",0
"""

Bigfoot

Welcome back. Like the Devil and Daniel Webster. True, the intro is a mess and it must be made clear that Bigfoot is not a proven zoological species, but is tentative, and unproven. But the search goes on for evidence. The extreme LENGTH of this search leads researchers, with or without PhDs, to speculate that there may be a""""Plan C"""" where the beings may be neither hoax, (too many sighitngs for that) nor zoological (no body) but instead may be a theoretical space-time creature. This has not yet been stated. It needs to be. Skeptical editors can relax and know that skeptics are correct, there is no zoological Bigfoot nor Yeti. But there is something else. This is being ignored and swept under the rug. Always remember that with no official funding, """"mainstream"""" science has no positive opinion on the topic, and the work goes on by unpaid PhDs and many amateurs, and one paid non-academic.

Now, we, the Six, on the BF Edit Committee in Berkeley, will edit and re edit, and revert 
until the end of time to get the true and correct word out to readers. We will NOT
go away. Editors would be well-advised to work with our suggestions, since we know the literature and most editors never cracked a book. They, except one or two, do not kow squat on the topic, and most are lost in the theoretical quagmire. Most, it seems, 
are also uneducated. Daniel, welcome back.

The Six
 """,0
", also no one was required to join the PIRA and they can freely leave at anytime",0
Just to add. I had a quick look at your user page and I can see you're a very busy individual. I am sorry that I've encroached on your time like this and I will bear that in mind in future. I think it's admirable you spare the time as you do to further Wikipedia.,0
"""

""""Famous players"""" (and what on earth is this idiocy above?!?!!?!?)
The list is, at best, dubious (HUMUNGOUS for a very modest club). I removed one player that is so famous he played ONE MATCH at Badajoz, i suppose some are in the same """"position"""". - 217.129.65.5  """,0
"I read an interesting essay once, entitled: The Pre-Med as a Metaphor of Antipathy. The author was (IIRC) a basic-science professor trying to understand why pre-meds were such jerks, and whether the qualities selected for by the pre-med process were necessarily the ones that would make for an exemplary physician. Taking the pre-med curriculum was among the most depressing experiences of my life - a relentlessly grinding, competitive exercise in rote memorization of material that held little interest or applicability for me. I felt bad for people who took organic chemistry and biology because they were actually interested in those subjects - they were trampled in a horde of people who had come from the top of their high school classes and were trying to beat the curve, inexorably normed to a C+/B-, to get into med school.I certainly witnessed a reasonable amount of cheating, and I'm sure there were more egregious things happening out of plain sight. I was amazed, when I took the MCATs, at the level of security and anti-cheating measures in place. They did basically everything except a retinal scan, but I suppose such things are necessary. The question, of course, is whether such learned behaviors and coping mechanisms can be switched off. '''''' Talk",0
"Yea, looked you up, no huge skeletons in my view.  If you dont want the mop its your choice, but I do think you'd stand a chance, and if not like we ban people who fail RFA. '''''' talk",0
"Last bullet point
The third bullet point:
 even though part of the ruling nation within the British Empire, a tendency of many Scots to perceive themselves as victims of English colonialism and cultural imperialism within British institutions, such as the perceived marginalisation of coverage of Scottish affairs by the BBC.
does not seem to me a manifestation of the Scottish cringe at all. My understanding of the cringe is that it is essentially a sense of inferiority or embarrassment at all things Scottish felt by some Scots themselves. Someone manifesting the Scottish cringe would therefore be unlikely to feel hard done by any marginalisation of coverage of Scottish affairs by the BBC. They would be more likely not to acknowledge any marginalisation or to see it as natural and proper.",0
"Thank you very much for the response! But can i by myself remove the warnings? For example i've already put the references, but the warning is still there...  
THANX FOR HELP!",0
"Block me Alf, I have 4 DSL accounts and a whole host of IPs... good luck",0
"""

 Message Reply 
Well, for starters, the welcome is a little late, considering i've been here since September. And that edit wasn't intended to be vandalism, merely a misunderstanding of malarkey's meaning. ''''  21:48 20 July 2011 (UTC)""",0
"Causes
There is a discussion inside the article in 'Causes'. One person is saying something then another is saying it's not. Apart from a trashy discussion inside the article, it looks like original writing which is not contemplated in Wikipedia best pratices.",0
The Provisional IRA and the Continuity IRA were previously designated as 'Other Terrorist Groups' by the US authorities. This was deleted following the peace process in Northern Ireland. The Real IRA however have been designated a 'terrorist organisation' since their split with the PIRA in 1998.,0
Viriditas appears to be a bit confused about the difference between original research and a pertinent observation regarding some apparent vandalism of the main article. WP:OR does not require us to leave our brains at the door. 122.60.93.162,0
""" It is a """"Biblical scientific foreknowledge"""" thread.  The goalpost are not being moved. 

""",0
